transaction_id,timestamp,customer_id,amount_ghs,recipient_id,transaction_status,source_ip,device_id
TXN-100234,2026-08-14T10:05:00Z,CUST-0231,50.00,CUST-0450,completed,102.176.65.14,DEV-1A2B3C
TXN-100235,2026-08-16T15:20:00Z,CUST-0231,120.00,CUST-1103,completed,102.176.65.14,DEV-1A2B3C

TXN-100301,2026-08-15T09:30:00Z,CUST-0587,75.00,CUST-0231,completed,102.180.22.9,DEV-4D5E6F
TXN-100302,2026-08-18T19:10:00Z,CUST-0587,200.00,CUST-0450,completed,102.180.22.9,DEV-4D5E6F

TXN-100410,2026-08-14T21:00:00Z,CUST-0942,90.00,CUST-1103,completed,154.160.3.201,DEV-7G8H9I
TXN-100411,2026-08-18T13:00:00Z,CUST-0942,60.00,CUST-0587,completed,154.160.3.201,DEV-7G8H9I

TXN-100501,2026-08-15T09:05:00Z,CUST-0450,150.00,CUST-0942,completed,102.185.9.77,DEV-CC22DD
TXN-100502,2026-08-19T11:20:00Z,CUST-0450,45.00,CUST-0231,completed,102.185.9.77,DEV-CC22DD

TXN-100601,2026-08-14T10:15:00Z,CUST-1103,30.00,CUST-0587,completed,41.66.204.5,DEV-AA11BB
TXN-100602,2026-08-17T17:00:00Z,CUST-1103,80.00,CUST-0942,completed,41.66.204.5,DEV-AA11BB

TXN-100999,2026-08-20T08:54:02Z,CUST-0231,4800.00,NUE-MULE0099,completed,45.155.205.12,DEV-ATK0001
TXN-101000,2026-08-20T11:09:15Z,CUST-0587,3950.00,NUE-MULE0099,completed,45.155.205.12,DEV-ATK0001
TXN-101001,2026-08-20T13:44:30Z,CUST-0942,5200.00,NUE-MULE0099,completed,45.155.205.12,DEV-ATK0001
TXN-101050,2026-08-20T09:50:00Z,CUST-0450,25.00,CUST-1103,completed,102.185.9.77,DEV-CC22DD
